Sample,Site,Depth,Surface_temp,Soil_temp,Light,Air_temp,Grain_size,Water_content,FC_count,CFU_count,pH,Ca,Cl,K,Na,NH4,Mg,EC,Glacier_dist,flux_CH4,flux_CO2
1BL,1,Lower,23,12.8,1340,13.4,0.1,11.71429697,287860,328000,5.7,0.005905512,0.001476378,0.004872047,0.017667323,0.000984252,0.002854331,0.201,2.23,0.028942469,0.146670525
1BT,1,Top,23,12.8,1340,13.4,0.1,0.752130472,226440,280000,5.69,0.005225039,0.001345059,0.005121573,0.018313502,0.000931195,0.002431454,0.201,2.23,0.028942469,0.146670525
1CL,1,Lower,20.9,11.4,1290,14,0.1,28.86414196,1031190,146000,5.79,0.006772334,0.001056676,0.004995197,0.016762728,0.00067243,0.007588857,0.268,2.23,-0.077900246,0.038743758
1CT,1,Top,20.9,11.4,1290,14,0.1,18.85786261,390720,652000,5.72,0.012474849,0.001760563,0.00694165,0.017404427,0.000955734,0.004426559,0.268,2.23,-0.077900246,0.038743758
1DL,1_VEG,Lower,29.5,14.3,1290,15.6,0.1,3.37435061,341510,50000,5.81,0.004208925,0.000912779,0.003701826,0.022667343,0.000456389,0.003245436,0.201,2.23,-0.135433223,0.029887913
1DT,1_VEG,Top,29.5,14.3,1290,15.6,1000,0.130704234,32264,54000,5.8,0.003117144,0.000955254,0.002513826,0.017747612,0.000402212,0.003217697,0.201,2.23,-0.135433223,0.029887913
1EL,1_VEG,Lower,23.4,12.7,1217,15.1,1000,5.143180106,149110,64000,5.78,0.002492809,0.00071908,0.003451582,0.025023969,0.000479386,0.002636625,0.201,2.23,-0.063538588,0.075930469
1ET,1_VEG,Top,23.4,12.7,1217,15.1,1,9.318757645,248270,148000,5.79,0.003009709,0.001019417,0.003349515,0.022718447,0.000485437,0.003543689,0.201,2.23,-0.063538588,0.075930469
1FL,1_VEG,Lower,20.5,12.1,1183,15.7,0.1,11.06140575,317090,200000,5.97,0.002275894,0.006409661,0.002090107,0.003855086,0.000278681,0,0.067,2.23,0.055440648,0.14176747
1FT,1_VEG,Top,20.5,12.1,1183,15.7,0.1,9.925749865,354090,164000,5.75,0.002509843,0.000836614,0.003543307,0.02898622,0.000541339,0.00738189,0.268,2.23,0.055440648,0.14176747
1GL,1_VEG,Lower,25.8,17.4,1256,15.7,NA,13.09526491,162294.5571,28200,5.93,0.002507837,0.014211076,0.004179728,0.00553814,0.000574713,0.000679206,0.067,2.23,,
1GT,1_VEG,Top,25.8,17.4,1256,15.7,NA,3.467729414,120709.2199,168400,5.96,0.002120141,0.01140838,0.00454316,0.005502272,0.000605755,0.000201918,0.067,2.23,,
1HL,1_VEG,Lower,21.8,15.6,1175,15.7,NA,18.48153191,274745.2018,26000,5.77,0.004392387,0.385553929,0.004099561,0.020107369,0.000536847,0.009126403,0.268,2.23,,
