#OTU ID,barcode18.CONCOMPRA,unclassified.CONCOMPRA,barcode30.CONCOMPRA,barcode76.CONCOMPRA,barcode77.CONCOMPRA,barcode31.CONCOMPRA,barcode21.CONCOMPRA,barcode85.CONCOMPRA,barcode08.CONCOMPRA,barcode63.CONCOMPRA,barcode33.CONCOMPRA,barcode38.CONCOMPRA,barcode62.CONCOMPRA,barcode56.CONCOMPRA,barcode57.CONCOMPRA,barcode82.CONCOMPRA,barcode83.CONCOMPRA,barcode15.CONCOMPRA,barcode09.CONCOMPRA,barcode58.CONCOMPRA,barcode49.CONCOMPRA,barcode71.CONCOMPRA,barcode50.CONCOMPRA,barcode10.CONCOMPRA,barcode22.CONCOMPRA,barcode73.CONCOMPRA,barcode84.CONCOMPRA,barcode78.CONCOMPRA,barcode19.CONCOMPRA,barcode91.CONCOMPRA,barcode48.CONCOMPRA,barcode45.CONCOMPRA,barcode12.CONCOMPRA,barcode02.CONCOMPRA,barcode92.CONCOMPRA,barcode81.CONCOMPRA,barcode53.CONCOMPRA,barcode59.CONCOMPRA,barcode61.CONCOMPRA,barcode04.CONCOMPRA,barcode51.CONCOMPRA,barcode52.CONCOMPRA,barcode75.CONCOMPRA,barcode66.CONCOMPRA,barcode93.CONCOMPRA,barcode44.CONCOMPRA,barcode13.CONCOMPRA,barcode74.CONCOMPRA,barcode37.CONCOMPRA,barcode29.CONCOMPRA,barcode34.CONCOMPRA,barcode16.CONCOMPRA,barcode36.CONCOMPRA,barcode11.CONCOMPRA,barcode05.CONCOMPRA,barcode69.CONCOMPRA,barcode35.CONCOMPRA,barcode60.CONCOMPRA,barcode24.CONCOMPRA,barcode27.CONCOMPRA,barcode06.CONCOMPRA,barcode41.CONCOMPRA,barcode20.CONCOMPRA,barcode43.CONCOMPRA,barcode03.CONCOMPRA,barcode87.CONCOMPRA,barcode14.CONCOMPRA,barcode65.CONCOMPRA,barcode42.CONCOMPRA,barcode28.CONCOMPRA,barcode01.CONCOMPRA,barcode96.CONCOMPRA,barcode25.CONCOMPRA,barcode17.CONCOMPRA,barcode68.CONCOMPRA,barcode26.CONCOMPRA,barcode67.CONCOMPRA,barcode94.CONCOMPRA
barcode3466,1,13,0,15,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,18,15,0,36,0,0,0,0,0,0,0,0,0,0,4,51,0,0,17,0,8,8,0,4,1,2,1,0,218,0,0,4,0,0,0,12,0,0,0,0,28,0,0,0,0,0,1,1,0,0,0,0,1,9,0,0
barcode4565,15,53,0,6,0,0,1,7,0,0,0,0,0,0,1,0,3,0,3,0,0,0,10,174,8,72,0,0,10,0,0,501,18,77,0,0,19,178,0,0,0,0,39,0,0,48,26,13,28,43,0,0,4,1,0,14,24,2,0,33,3,0,0,0,7,0,38,0,2,2,0,0,0,0,2,38,0,0
barcode0441,5,42,1,26,0,0,7,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,3,5,23,0,0,4,0,0,44,0,0,0,0,30,21,4,799,11,0,5,4,0,0,0,2,30,2,0,0,5,3,1,2,22,0,0,7,3,2,7,0,11,0,9,0,2,6,1,0,0,0,2,10,0,0
barcode6963,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,111,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0
barcode735,24,43,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,853,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,2,3,0,0,34,0,35,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
barcode0241,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,170,0,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode538,3,32,0,84,0,0,13,19,0,0,0,0,0,0,0,6,13,0,0,0,0,0,8,21,0,60,0,0,4,0,0,376,0,11,0,0,230,55,110,0,0,1,26,8,0,9,7,1,157,1,0,0,22,1,0,27,0,18,0,17,2,0,12,0,11,0,7,0,7,23,0,0,0,0,9,7,1,0
barcode8260,34,31,0,43,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,209,0,0,1,0,32,0,126,51,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0
barcode7522,1,12,0,7,0,0,0,0,0,0,0,1,0,0,2,25,0,0,4,0,0,0,73,0,0,12,0,0,0,0,0,0,0,13,0,0,6,7,0,0,1,0,230,33,0,2,3,0,0,0,3,0,0,1,28,0,1,4,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
barcode7612,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode5964,7,11,0,39,0,0,0,0,0,0,0,5,0,0,8,5,1,0,7,1,0,0,32,21,3,26,0,0,10,0,0,33,4,0,0,0,21,40,5,0,12,3,3,22,0,13,10,55,11,2,0,0,24,12,0,0,18,6,0,4,0,0,5,1,105,0,1,1,1,6,8,0,0,0,1,4,0,0
barcode7623,55,62,0,607,0,0,1,0,0,0,72,1,0,0,2,14,2,0,0,1,0,0,19,51,1,208,0,0,20,0,0,17,1,2,0,0,17,491,3,0,266,0,23,14,0,18,49,27,100,0,0,0,18,10,113,6,53,14,0,34,0,0,7,0,73,0,2,0,1,31,42,0,0,0,11,44,1,0
barcode7358,59,47,0,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,1081,0,0,0,0,0,0,0,51,0,0,33,0,0,0,0,0,49,0,0,0,0,0,47,0,65,0,0,0,0,0,0,68,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
barcode1814,13,6,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode0217,18,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,0,111,0,0,0,0,0,0,0,156,0,0,0,38,0,1,6,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,13,0,0
